"Data generated on Thursday, February 21, 2019 at 12:43:58 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","World Total","1","Soybeans","5,402,567","5,677,154","7,959,922","6,667,516","6,273,643","6,935,556","9,992,106","15,430,894","16,423,200","18,610,815","17,590,943","24,770,918","21,570,162","23,866,105","18,861,872","22,841,797","21,451,890","US","R00","0035AT",
"1","World Total","2","Forest Products","5,142,002","4,964,848","5,006,825","5,696,555","5,893,300","6,330,822","6,606,542","6,620,394","5,281,506","6,880,849","7,773,377","7,834,542","8,866,595","9,667,729","8,779,944","8,814,730","9,528,107","US","R00","0290AT",
"1","World Total","3","Corn","4,501,725","4,845,251","4,724,070","5,875,414","4,788,825","6,991,702","9,762,572","13,431,013","8,745,959","9,791,987","13,652,198","9,313,057","6,385,673","10,581,900","8,270,992","9,876,745","9,118,804","US","R00","0020AT",
"1","World Total","4","Tree Nuts","1,147,326","1,321,053","1,629,306","2,041,004","2,734,033","2,881,232","3,077,962","3,433,335","3,724,344","4,441,428","5,358,798","6,436,403","7,526,574","7,994,092","8,440,552","7,902,203","8,478,182","US","R00","0195AT",
"1","World Total","5","Beef & Beef Products","3,404,659","3,203,890","3,855,642","807,720","1,377,190","2,031,358","2,623,631","3,195,666","3,081,454","4,078,606","5,419,968","5,507,935","6,172,951","7,138,049","6,310,686","6,360,135","7,263,103","US","R00","0145AT",
"1","World Total","6","Other Intermediate Products","3,244,781","3,358,701","3,419,953","3,564,883","3,677,470","3,942,232","4,628,075","4,775,998","4,719,148","5,080,088","5,487,504","5,942,025","6,215,397","6,486,302","6,263,861","6,295,298","6,805,257","US","R00","0130AT",
"1","World Total","7","Pork & Pork Products","1,556,071","1,504,431","1,581,672","2,228,400","2,638,533","2,856,129","3,155,459","4,795,909","4,284,171","4,779,343","6,114,290","6,319,192","6,044,756","6,649,451","5,566,762","5,936,039","6,484,613","US","R00","0150AT",
"1","World Total","8","Wheat","3,351,506","3,611,601","3,915,706","5,093,768","4,357,389","4,194,536","8,364,651","11,290,283","5,375,545","6,763,646","11,141,256","8,165,993","10,441,682","7,701,098","5,627,952","5,346,118","6,062,197","US","R00","0015AT",
"1","World Total","9","Prepared Food","1,782,407","1,899,529","2,135,603","2,432,754","2,699,229","3,099,932","3,156,360","3,653,244","3,717,906","4,055,977","4,528,734","5,272,070","5,879,509","5,948,649","5,849,043","6,118,310","5,935,968","US","R00","0220AT",
"1","World Total","10","Cotton","2,174,400","2,030,863","3,376,469","4,251,073","3,929,420","4,514,432","4,588,693","4,811,852","3,365,480","5,890,197","8,466,272","6,252,543","5,628,864","4,410,987","3,901,637","3,967,102","5,845,442","US","R00","0045AT",
"1","World Total","11","Fish Products","3,056,606","2,959,400","3,064,499","3,500,993","3,852,751","3,986,325","4,016,730","3,991,662","3,738,359","4,201,915","5,250,073","5,110,847","5,182,951","5,327,983","5,193,347","5,035,319","5,393,107","US","R00","0295AT",
"1","World Total","12","Dairy Products","1,085,792","945,477","997,450","1,452,904","1,628,928","1,832,038","2,978,228","3,752,732","2,235,082","3,689,267","4,786,243","5,123,122","6,714,510","7,095,901","5,239,709","4,699,695","5,382,850","US","R00","0170AT",
"1","World Total","13","Fresh Fruit","2,124,651","2,134,030","2,273,232","2,394,072","2,696,595","2,870,795","3,140,008","3,622,291","3,513,208","3,980,873","4,502,372","4,935,065","5,068,321","4,944,042","4,564,717","4,563,674","4,748,962","US","R00","0175AT",
"1","World Total","14","Poultry Meat & Prods. (ex. eggs)","2,329,853","1,769,200","1,986,184","2,262,505","2,751,811","2,512,515","3,571,769","4,506,403","4,191,922","4,192,944","4,906,977","5,454,930","5,519,068","5,494,156","4,043,372","3,879,319","4,266,887","US","R00","0155AT",
"1","World Total","15","Soybean Meal","1,478,375","1,327,767","1,262,043","1,283,823","1,477,531","1,650,641","2,147,737","3,181,387","3,482,153","3,501,273","3,190,651","4,857,155","5,412,196","5,481,436","4,780,665","4,073,493","3,885,646","US","R00","0075AT",
"1","World Total","16","Feeds & Fodders NESOI","1,473,519","1,380,782","1,413,933","1,441,489","1,449,120","1,581,790","1,789,937","2,186,227","1,811,343","2,159,311","2,471,324","2,742,726","3,147,639","3,157,601","2,830,925","2,792,819","2,739,577","US","R00","0115AT",
"1","World Total","17","Processed Vegetables","1,099,031","1,078,230","1,046,152","1,111,360","1,190,077","1,289,210","1,485,617","1,841,184","1,779,751","1,885,312","2,172,783","2,395,077","2,579,036","2,726,556","2,687,244","2,695,318","2,689,730","US","R00","0185AT",
"1","World Total","18","Snack Foods NESOI","1,054,529","999,211","1,043,729","1,180,485","1,297,612","1,406,225","1,590,212","1,891,459","1,867,077","1,993,529","2,268,699","2,501,024","2,644,388","2,747,721","2,687,477","2,641,945","2,635,607","US","R00","0205AT",
"1","World Total","19","Fresh Vegetables","1,200,102","1,248,448","1,318,638","1,379,834","1,537,363","1,683,636","1,809,497","1,948,348","1,906,200","2,091,701","2,211,311","2,150,877","2,394,358","2,407,782","2,395,236","2,446,284","2,513,124","US","R00","0182AT",
"1","World Total","20","Ethanol (non-bev.)","123,559","72,076","102,644","80,939","108,748","75,781","358,380","373,984","245,441","874,416","3,264,969","1,901,486","1,554,929","2,062,088","1,743,437","2,042,429","2,417,054","US","R00","0280AT",
"1","World Total","21","Wine & Beer","723,995","712,905","793,737","961,763","860,778","1,056,244","1,156,658","1,238,841","1,165,561","1,392,300","1,662,236","1,781,701","2,070,135","2,031,788","2,216,403","2,230,743","2,210,655","US","R00","0225AT",
"1","World Total","22","Non-Alcoholic Bev. (ex. juices)","509,975","506,983","610,159","634,149","788,262","909,697","1,018,561","1,248,500","1,250,653","1,424,556","1,814,692","2,098,680","2,144,015","2,110,671","2,109,196","2,078,304","1,999,682","US","R00","0230AT",
"1","World Total","23","Hides & Skins","1,962,678","1,745,263","1,781,989","1,744,978","1,776,634","2,045,497","2,165,919","2,064,117","1,464,869","2,284,266","2,662,565","2,783,757","3,133,999","2,924,666","2,434,904","1,919,876","1,887,911","US","R00","0100AT",
